generation,rank,Scatter,Publish,Queues
0,4,3.77593145519495,3.779997520148754,0.0037931168917566
1,4,2.8452065009623766,2.84859047899954,0.0032136121299117
2,4,3.2181587000377476,3.2226264199707657,0.0043134209699928
3,4,3.1583236639853567,3.1624051278922707,0.0039204449858516
4,4,2.8953285480383784,2.8987870060373098,0.0033516131807118
5,4,4.18520955205895,4.187420004978776,0.0020526740700006
6,4,3.34138564998284,3.3452144239563495,0.0037669320590794
7,4,3.016384060960263,3.0187730172183365,0.0022297061514109
8,4,3.0048174241092056,3.007953643100336,0.0030632510315626
9,4,2.9239482700359076,2.9279376729391515,0.0039300119969993
0,6,3.6998302582651377,3.704960127361119,0.0048595033586025
1,6,3.5355494171380997,3.5389874279499054,0.0032290397211909
2,6,3.1795373605564237,3.184179644100368,0.0044624097645282
3,6,3.053618574514985,3.0564294578507543,0.0026170350611209
4,6,3.029371678829193,3.0320197781547904,0.002569718286395
5,6,3.4194140564650297,3.422428823076189,0.0028232373297214
6,6,3.2368116341531277,3.239429496228695,0.0025160443037748
7,6,3.1522902911528945,3.154740405268967,0.0023857504129409
8,6,3.262468622997403,3.266335114836693,0.0037291049957275
9,6,3.0839531924575567,3.086531856097281,0.0025095315650105
0,7,2.922617974691093,2.9285300485789776,0.0056288093328475
1,7,3.3737397622317076,3.37651892285794,0.0025934074074029
2,7,3.4072834933176637,3.409251222386956,0.0019001839682459
3,7,2.940071266144514,2.9430318428203464,0.0027830014005303
4,7,3.3554474264383316,3.3579445965588093,0.0024295970797538
5,7,3.2603131718933582,3.2635240806266665,0.0030360473319888
6,7,3.032928863540292,3.0356076918542385,0.0026096897199749
7,7,3.373225556686521,3.376249731518328,0.0029548723250627
8,7,3.3204883793368936,3.3241179287433624,0.0035011917352676
9,7,3.572186140343547,3.5750282192602754,0.0027722157537937
0,5,2.8281813531648368,2.833172192797065,0.0047199998516589
1,5,3.0122383409179747,3.0159938680008054,0.0035919630900025
2,5,3.3351252540014684,3.3396058150101453,0.0043161348439753
3,5,3.6191123030148447,3.623883140971884,0.0046063510235399
4,5,3.029133749892935,3.033272634027526,0.0040740179829299
5,5,4.902854271000251,4.906250084051862,0.0032449427526444
6,5,4.236194255994633,4.240086384816095,0.0038023728411644
7,5,3.6290437791030854,3.632173894904554,0.0030660459306091
8,5,3.3060699820052832,3.3096141549758613,0.0034107558894902
9,5,3.4479330061003566,3.452627089107409,0.0046281439717859
0,0,3.3243744410574436,3.3291678922250867,0.0045405132696032
1,0,3.0717304619029164,3.074930353090167,0.0030379416421055
2,0,2.8509628027677536,2.855181091465056,0.0040572974830865
3,0,3.6333354534581304,3.637528395280242,0.0040231803432106
4,0,3.201552960090339,3.205387072637677,0.0037728296592831
5,0,3.43564310669899,3.4373754281550646,0.0015752781182527
6,0,3.2953167222440243,3.2987407725304365,0.0033548604696989
7,0,3.3601001044735312,3.363063368946314,0.0027936762198805
8,0,3.213561379350722,3.2171858344227076,0.0035642832517623
9,0,3.5008001318201423,3.5051218327134848,0.0042354892939329
0,3,3.2744263913482428,3.278730379417538,0.0040526343509554
1,3,3.2422302030026913,3.2457632487639785,0.0033678039908409
2,3,2.840744669549167,2.845524021424353,0.0046845907345414
3,3,3.3515567975118756,3.3557515842840075,0.0040355566889047
4,3,2.8585117189213634,2.8625995609909296,0.0040123853832483
5,3,3.563828186132014,3.566114043816924,0.0021247789263725
6,3,3.3596201734617352,3.363205664791167,0.003445440903306
7,3,3.2028338564559817,3.2058339351788163,0.0029125530272722
8,3,2.8986193435266614,2.902230774052441,0.0035337982699275
9,3,3.0483510876074433,3.0525148576125503,0.0040995934978127
0,1,3.338924814015627,3.343896416015923,0.0046902643516659
1,1,3.363139278255403,3.3667999720200896,0.003476514481008
2,1,2.8838283056393266,2.8873970173299313,0.0034600095823407
3,1,3.0404621371999383,3.044653043150902,0.0040243789553642
4,1,3.4132370110601187,3.4166828067973256,0.0033057639375329
5,1,2.852837505750358,2.854520402848721,0.0015971837565302
6,1,3.1136766327545047,3.1170747242867947,0.0033299392089247
7,1,3.2980490401387215,3.3011434776708484,0.0029152864590287
8,1,3.587875524535775,3.5912622241303325,0.0033058505505323
9,1,3.5030077854171395,3.507152217440307,0.0040807398036122
0,2,3.292236726731062,3.296442604623735,0.0039461832493543
1,2,3.56715349573642,3.570448855869472,0.0031321132555603
2,2,3.316220622509718,3.3201911067590117,0.0038143238052725
3,2,3.308273173868656,3.312924942933023,0.0044926572591066
4,2,3.0398159539327025,3.0433036079630256,0.0034257574006915
5,2,3.7537794578820463,3.755955981090665,0.0020337514579296
6,2,3.079648076556623,3.082006234675646,0.0021991869434714
7,2,3.371411726810038,3.3742558797821403,0.0027594333514571
8,2,2.8549219872802496,2.8583983220160007,0.0034127999097108
9,2,3.328929366543889,3.3332165041938424,0.0042035244405269
