generation,rank,simulation,PDI,bar
0,2,1.1748496400000017,0.3311854600000004,6.229750848999998
1,2,1.1730516080000015,0.3539168300000028,0.008729473999999
2,2,1.2390096729999982,0.3538098849999969,8.106599999990749e-05
3,2,1.2293254779999998,0.314974032000002,0.0389812969999994
4,2,1.2257812779999997,0.3443038630000004,0.0058359949999982
5,2,1.2307220869999966,0.3449961319999985,0.0056992919999956
6,2,1.2402771020000003,0.3326520889999997,0.0198595680000011
7,2,1.2280584459999986,0.3476416549999968,0.0056849360000015
8,2,1.2436003500000012,0.3443473900000029,0.0092789040000056
9,2,1.2611525179999958,0.2990043070000041,0.0506055210000013
10,2,1.258320131000005,0.3517279109999975,1.569900000220059e-05
11,2,1.259223709000004,60.352199260000006,0.0022771600000055
0,6,1.1751937989999988,0.3245670520000026,6.236372783
1,6,1.173041927,0.2329862870000028,0.1296866249999979
2,6,1.2390209640000052,0.3125804490000021,0.0412995009999974
3,6,1.229323159000003,0.3414656619999974,0.0124575580000012
4,6,1.2258422330000016,0.3475422759999986,0.0025782169999999
5,6,1.230753178999997,0.320400283000005,0.0302595780000061
6,6,1.2402533950000034,0.2387821569999957,0.1137570409999995
7,6,1.228075142999998,0.3448473539999952,0.0080179320000013
8,6,1.244023096999996,0.3464854979999998,0.0071754729999966
9,6,1.2611399919999968,0.3382013929999985,0.0114082979999992
10,6,1.2583366349999991,0.3300101250000011,0.021717682000002
11,6,1.2592540939999992,60.011437001,0.3430432440000004
0,3,1.1748343020000007,6.535562512000002,0.0253989179999969
1,3,1.172820686999998,0.2968279920000043,0.0660425220000036
2,3,1.2385660049999956,0.2579922929999938,0.0963404040000028
3,3,1.228777209999997,0.2967979039999946,0.057699792000001
4,3,1.225186470000004,0.2837387630000023,0.0669998619999958
5,3,1.228185050999997,0.2468487080000017,0.1063834340000013
6,3,1.2394129790000008,0.285301883999999,0.0680680420000001
7,3,1.2273617020000032,0.2914172829999941,0.0626056660000031
8,3,1.242681633999993,0.2287360750000004,0.1258146100000061
9,3,1.2604223319999974,0.257706394000003,0.0926272620000006
10,3,1.253357942000001,0.2912910000000011,0.0654150229999999
11,3,1.2546886260000036,0.1671966990000015,60.19182107300001
0,7,1.175177005000002,6.530027221000001,0.0309457810000033
1,7,1.1728358840000013,0.3002461269999941,0.0626121399999988
2,7,1.238555941999998,0.2911875900000069,0.0631515739999954
3,7,1.2287787260000016,0.295481579000004,0.058983529999999
4,7,1.2252184560000003,0.2874218769999999,0.0633222800000012
5,7,1.2281735870000006,0.2857083550000041,0.0675362209999974
6,7,1.239392768000002,0.2885802670000004,0.064812443000001
7,7,1.227317554999999,0.2957147979999988,0.0579089149999987
8,7,1.2431284809999994,0.2870555470000013,0.0675000379999986
9,7,1.2605294410000027,0.2327551280000008,0.1174676979999986
10,7,1.2533460570000017,0.2843925999999968,0.0723245450000007
11,7,1.2547226699999996,0.1608888729999975,60.198129063
0,0,1.174489972,6.525506806999999,0.0354764729999992
1,0,1.1734342189999971,0.3002540379999985,0.0620424190000008
2,0,1.2395301569999972,0.2493580120000018,0.1039937020000039
3,0,1.2298689890000034,0.289599502999998,0.063814961999995
4,0,1.2265370599999983,0.2867332179999948,0.062657424000001
5,0,1.2312295030000016,0.2230758309999956,0.1270725179999985
6,0,1.2412091909999958,0.2936717080000051,0.0579402099999981
7,0,1.228974266999998,0.2742645060000015,0.077705863999995
8,0,1.2458706700000022,0.2880850549999962,0.0637184700000048
9,0,1.2622242569999995,0.2319954829999986,0.116488492000002
10,0,1.2594476090000055,0.290098768,0.0605650200000056
11,0,1.2600434459999974,60.351965318000005,0.0017005100000062
0,8,1.1751953709999974,0.2600676839999991,6.300951548999997
1,8,1.173135497999997,0.2516375350000004,0.110926089000003
2,8,1.2393028549999985,0.2883048549999998,0.0652895879999988
3,8,1.2297501520000012,0.2345837879999948,0.1189144340000041
4,8,1.2267226519999994,0.2602162800000016,0.0890108520000012
5,8,1.2313764420000055,0.2842752829999995,0.0657238390000003
6,8,1.2410434900000027,0.2479087379999995,0.103880525000001
7,8,1.2289425419999986,0.292274380000002,0.059742473
8,8,1.2449413840000003,0.2653488730000006,0.0873565469999988
9,8,1.2622133809999951,0.2833175230000009,0.0651876769999972
10,8,1.259439461999996,0.2628408810000024,0.087825506999998
11,8,1.2602240219999956,60.351247283,0.0022153250000087
0,13,1.1752678590000016,6.534390649000002,0.0214243070000001
1,13,1.1782689499999996,0.2991896879999984,0.0634719250000017
2,13,1.2391283019999977,0.2949886210000016,0.0587595370000002
3,13,1.229630403999998,0.2925893119999969,0.0610398889999999
4,13,1.2266850330000023,0.2919696080000022,0.0573162779999947
5,13,1.2313064800000006,0.2917087370000004,0.0583372489999973
6,13,1.2409892109999987,0.3007685370000033,0.0510582880000001
7,13,1.228920322999997,0.274009889999995,0.078533078999996
8,13,1.244324325000001,0.2940552419999989,0.0587989389999989
9,13,1.2621678289999991,0.2871621139999973,0.0613708579999965
10,13,1.258897109000003,0.2746890389999947,0.0765191529999995
11,13,1.2602077279999977,60.01662797600001,0.3368687090000009
0,10,1.174844955000001,6.473851707999998,0.0870553959999966
1,10,1.1730366320000023,0.3595815959999981,0.0030923919999992
2,10,1.2389952569999991,0.3244236520000001,0.0294784349999943
3,10,1.229301839999998,0.2723350559999957,0.0816204850000019
4,10,1.2258010990000017,0.3500811380000002,9.88279999987185e-05
5,10,1.2306653310000044,0.3264878920000029,0.0241904109999993
6,10,1.2402705870000048,0.3524578060000038,0.0001034730000029
7,10,1.2280575419999948,0.3305960370000065,0.0228240120000009
