generation,getdata,getdataq,computation
43.382159694097936,13.992516678059474,13.988736536120996,29.389636669075117
28.182147895917296,0.010390267940238118,0.00703853415325284,28.17175159906037
27.97659106203355,0.010955859906971455,0.007865056162700057,27.96562936110422
29.060287937987596,0.010376818012446165,0.00735798804089427,29.049905686173588
27.62879199697636,0.01085091708227992,0.00786604080349207,27.617934614187106
26.029081525979564,0.011068228865042329,0.008003454888239503,26.0180047811009
25.320076293079183,0.011804429814219475,0.00838564708828926,25.308265693951398
26.37325864098966,0.010865275980904698,0.007713785860687494,26.36238672886975
26.914602132048458,0.010566878132522106,0.007534450851380825,26.904029958182946
26.450013151858002,0.010575803928077221,0.007377460831776261,26.439432366983965
