generation,rank,simulation,PDI,bar
0,2,4.840416767000001,0.8980822899999996,1.329425882000001
1,2,4.9108096670000005,0.0030174160000022,7.182200000244165e-05
2,2,4.761974449,0.9229592470000014,0.2468714750000025
3,2,4.720413812,0.002275247,0.0060752350000008
4,2,4.733590655,1.1180679860000031,0.2524833090000058
5,2,4.703674572000004,0.0012359139999986,0.0034952419999996
6,2,4.750531469000002,1.1252711330000054,0.2554379640000022
7,2,4.711869647,0.0012900429999973,0.0041288629999982
8,2,4.726482558000001,0.9837424680000026,0.3702774229999974
9,2,4.694007606,0.0022796530000022,0.002045319000004
10,2,4.759020421999999,1.1297975490000027,0.1662254929999989
11,2,4.719006532999998,0.0046315689999971,0.0066921640000003
0,6,4.852440481,2.1439069600000007,0.0790672669999992
1,6,4.909803545000001,0.0030310639999981,0.0010509459999994
2,6,4.763100185999999,1.1485270990000025,0.020186842000001
3,6,4.725821555,0.0023703699999977,0.0005655739999994
4,6,4.734031045000002,1.1247917799999954,0.2453385230000009
5,6,4.703622059999994,0.0012727259999962,0.0034864730000023
6,6,4.7504857099999995,1.1306132129999966,0.2501456120000043
7,6,4.7118960130000005,0.0013219069999976,0.0037537259999993
8,6,4.726885041000003,1.1189328819999955,0.2349826129999996
9,6,4.694037573999999,0.0011744570000047,0.0031207359999996
10,6,4.758974096999992,1.0321066059999993,0.2639507159999965
11,6,4.719034688000008,0.0092133309999979,0.002089509000001
0,3,4.8459610820000005,1.1012096079999996,1.126326558999999
1,3,4.910789598999999,0.0029971019999983,0.000112271999999
2,3,4.761951141999997,0.9339614850000012,0.235892027000002
3,3,4.718729867,0.001431752000002,0.0086040059999987
4,3,4.722642950000001,0.8578264630000021,0.5236705710000038
5,3,4.701753879000002,0.0012628029999959,0.0053884559999985
6,3,4.748454979999998,0.9894142189999968,0.3933763779999992
7,3,4.709687408000001,0.0020017419999973,0.0055937560000032
8,3,4.724162964000001,1.3563059290000012,3.398900000206595e-05
9,3,4.691553205999995,0.0013266750000013,0.0054534809999964
