generation,rank,simulation,PDI,bar
0,49,1.238792117,21.473188031000003,0.000720502
1,49,1.2165038149999994,16.098532201,0.0006872969999989
2,49,1.1267371679999982,20.636309444,0.0012384090000026
3,49,1.1557302239999956,20.296673183000003,0.0014833559999942
4,49,1.1820645100000036,20.93794819,0.0008019740000122
5,49,1.2254030380000105,20.549174945000004,0.0006342100000011
6,49,1.1700273389999865,20.37779463200002,0.0007876520000138
7,49,1.1651592070000163,20.824978461,0.0007230370000002
8,49,1.2759983089999878,20.72609101499998,0.000641766000001
9,49,1.1828434509999963,20.741656498,0.0006975240000031
0,16,1.23381651,21.476368341,0.0002224909999988
1,16,1.217076513000002,16.098464882,0.0001734999999953
2,16,1.1271608750000013,20.636789719999996,0.0003265920000004
3,16,1.156737052000004,20.296268738,0.0008757240000107
4,16,1.1767504830000064,20.94389650400001,0.0001627559999946
5,16,1.229691678000009,20.54536183900001,0.0001574949999962
6,16,1.1705476510000068,20.37787921399999,0.0001775759999986
7,16,1.1658430089999854,20.82477628800001,0.000238161999988
8,16,1.271321334000021,20.73132715700001,7.642799999985073e-05
9,16,1.1836540500000012,20.741338893000005,0.0001941600000066
0,44,1.247892409,21.468880951,0.0002357800000005
1,44,1.2174611890000016,16.098014431,0.0002426219999946
2,44,1.127162271000003,20.636756159,0.0003599670000014
3,44,1.1564440089999977,20.297422150000003,1.504499999782638e-05
4,44,1.174408083000003,20.946264169999992,0.0001375070000051
5,44,1.2241121429999993,20.551015683000003,8.019000000558663e-05
6,44,1.1671783749999918,20.381153079,0.0002749070000049
7,44,1.1624031460000026,20.828368661000013,8.522199999561053e-05
8,44,1.267321250000009,20.735214198000023,0.0001922619999845
9,44,1.1797769730000027,20.74533070999999,8.673899998257184e-05
0,27,1.239999382,21.472498448,6.634200000021906e-05
1,27,1.2177393589999994,16.097742822,0.0002352969999961
2,27,1.1281693519999934,20.634874686000003,0.0012354939999994
3,27,1.1572748179999977,20.29512242199999,0.0014852380000007
4,27,1.175287859000008,20.944729943,0.0007935179999947
5,27,1.2270469810000009,20.547524527999997,0.0006379080000016
6,27,1.1684441579999998,20.379367911999992,0.0007965620000049
7,27,1.163580803000002,20.827019295000017,0.0002584060000003
8,27,1.2689913310000236,20.73316723900001,0.0005758089999972
9,27,1.181224491999984,20.743259371999983,0.0007074869999996
0,60,1.240473708,21.476790419,6.637199999914856e-05
1,60,1.216974152999999,16.098596777,0.0001494840000049
2,60,1.1262973279999997,20.637920138,6.652800000495063e-05
3,60,1.1554988500000007,20.297901899000003,0.0004898609999912
4,60,1.1745250379999987,20.94621300999999,7.136199999990822e-05
5,60,1.2223433589999928,20.552756720000005,0.0001094269999981
6,60,1.167153055,20.381176721999992,0.0002796610000075
7,60,1.1625155650000067,20.82830120200001,4.2918999980656736e-05
8,60,1.2672671479999735,20.735395014999995,6.768200000806246e-05
9,60,1.179839401999999,20.745267632000008,8.958000000802713e-05
0,52,1.241242341,21.468956816,2.7274000000687693e-05
1,52,1.2176565040000007,16.097919626,0.0001482090000024
2,52,1.1269375890000006,20.637280003999997,6.587300000404639e-05
3,52,1.1558884919999954,20.297513270000003,0.000483721000009
4,52,1.1745411130000036,20.946217763999996,5.401399999982459e-05
5,52,1.2227802589999897,20.55232356900001,0.0001046830000035
6,52,1.167195760999988,20.381181223,0.0002315840000051
7,52,1.16251955300001,20.828260166000007,7.912099999884958e-05
8,52,1.2672657159999972,20.735405084999996,5.852099999970051e-05
9,52,1.1798243549999938,20.745280578999996,9.217799998850752e-05
0,48,1.24085759,21.475822178,1.3041000002544934e-05
1,48,1.2163563429999975,16.099217625,0.000149309000001
