data,timestep,rank,get_contract,publish_request,scatter,publish
global_t,0,34.0,0.1080076694488525,6.222724914550781e-05,3.456472158432007,3.456570625305176
global_t,1,34.0,1.6689300537109375e-06,5.459785461425781e-05,3.435878276824951,3.4359750747680664
global_t,2,34.0,1.6689300537109375e-06,5.91278076171875e-05,3.405834197998047,3.4058918952941895
global_t,3,34.0,4.76837158203125e-07,4.5299530029296875e-05,3.398492336273194,3.39852523803711
global_t,4,34.0,2.86102294921875e-06,4.4345855712890625e-05,3.3847496509552,3.384791135787964
global_t,5,34.0,4.76837158203125e-07,7.152557373046875e-05,3.4601945877075195,3.460266351699829
global_t,6,34.0,2.5272369384765625e-05,3.123283386230469e-05,3.409487724304199,3.409520149230957
global_t,7,34.0,2.86102294921875e-06,6.0558319091796875e-05,3.43133282661438,3.43143892288208
global_t,8,34.0,4.76837158203125e-07,5.412101745605469e-05,3.409924268722534,3.4099597930908203
global_t,9,34.0,2.86102294921875e-06,5.817413330078125e-05,3.4229350090026855,3.422990560531616
global_t,0,84.0,0.1099188327789306,6.222724914550781e-05,17.252973318099976,17.25304126739502
global_t,1,84.0,1.6689300537109375e-06,5.650520324707031e-05,17.331714391708374,17.33176565170288
global_t,2,84.0,9.5367431640625e-07,4.2438507080078125e-05,17.132969617843628,17.133017539978027
global_t,3,84.0,2.1457672119140625e-06,5.435943603515625e-05,17.27395725250244,17.274006366729736
global_t,4,84.0,4.76837158203125e-07,5.054473876953125e-05,16.410673141479492,16.410719394683838
global_t,5,84.0,1.1920928955078125e-06,2.86102294921875e-05,17.39707088470459,17.39710783958435
global_t,6,84.0,3.0994415283203125e-06,5.7220458984375e-05,17.031176567077637,17.031227588653564
global_t,7,84.0,4.76837158203125e-07,2.694129943847656e-05,17.225146055221558,17.22517728805542
global_t,8,84.0,2.86102294921875e-06,5.507469177246094e-05,16.96976351737976,16.969812393188477
global_t,9,84.0,7.152557373046875e-07,4.267692565917969e-05,17.25841522216797,17.258445739746094
global_t,0,79.0,0.1210694313049316,7.176399230957031e-05,8.305842638015747,8.30592966079712
global_t,1,79.0,1.430511474609375e-06,5.8650970458984375e-05,7.783045768737793,7.78310227394104
global_t,2,79.0,1.6689300537109375e-06,5.841255187988281e-05,7.9083571434021,7.908416032791138
global_t,3,79.0,4.76837158203125e-07,3.147125244140625e-05,7.887035846710205,7.887072563171387
global_t,4,79.0,1.430511474609375e-06,5.602836608886719e-05,8.023088455200195,8.023149490356445
global_t,5,79.0,7.152557373046875e-07,3.1948089599609375e-05,7.99620246887207,7.99623966217041
global_t,6,79.0,1.9073486328125e-06,6.318092346191406e-05,8.009740829467773,8.00980257987976
global_t,7,79.0,7.152557373046875e-07,3.2901763916015625e-05,7.901671171188355,7.9017112255096436
global_t,8,79.0,1.6689300537109375e-06,6.985664367675781e-05,7.781951189041138,7.78202223777771
global_t,9,79.0,4.76837158203125e-07,4.982948303222656e-05,7.835516929626465,7.835553884506226
global_t,0,50.0,0.1080920696258544,5.7220458984375e-05,3.3192367553710938,3.3193085193634033
global_t,1,50.0,3.814697265625e-06,7.295608520507812e-05,3.429570436477661,3.4296579360961914
global_t,2,50.0,1.9788742065429688e-05,4.00543212890625e-05,3.4659955501556396,3.466031789779663
global_t,3,50.0,1.430511474609375e-06,3.910064697265625e-05,3.4175686836242676,3.4176175594329834
global_t,4,50.0,4.76837158203125e-06,5.602836608886719e-05,3.3584699630737305,3.3585474491119385
global_t,5,50.0,1.430511474609375e-06,2.5987625122070312e-05,3.4404516220092773,3.440488338470459
global_t,6,50.0,4.76837158203125e-06,4.458427429199219e-05,3.423987627029419,3.4240260124206543
global_t,7,50.0,9.5367431640625e-07,6.127357482910156e-05,3.4072253704071045,3.4072792530059814
global_t,8,50.0,9.5367431640625e-07,2.6702880859375e-05,3.4651994705200195,3.46523380279541
global_t,9,50.0,5.0067901611328125e-06,5.817413330078125e-05,3.3901703357696533,3.3902251720428467
global_t,0,78.0,0.1099803447723388,6.008148193359375e-05,13.565484762191772,13.565557479858398
global_t,1,78.0,1.9073486328125e-06,5.364418029785156e-05,13.490556716918944,13.490615367889404
global_t,2,78.0,7.152557373046875e-07,3.790855407714844e-05,13.280473709106444,13.280534505844116
global_t,3,78.0,7.152557373046875e-07,2.5272369384765625e-05,13.297062158584597,13.2970929145813
global_t,4,78.0,1.6689300537109375e-06,4.982948303222656e-05,13.363019227981567,13.363076448440552
global_t,5,78.0,4.76837158203125e-07,2.7418136596679688e-05,12.505733251571655,12.505770683288574
global_t,6,78.0,3.337860107421875e-06,4.100799560546875e-05,13.135230541229248,13.135288715362549
global_t,7,78.0,4.76837158203125e-07,4.029273986816406e-05,13.33585000038147,13.335882902145386
global_t,8,78.0,4.76837158203125e-07,2.646446228027344e-05,13.484017133712769,13.4840669631958
global_t,9,78.0,1.9073486328125e-06,6.318092346191406e-05,13.426177740097046,13.426252365112305
global_t,0,4.0,0.1214601993560791,6.318092346191406e-05,9.479825496673584,9.47989797592163
global_t,1,4.0,1.6689300537109375e-06,6.866455078125e-05,10.132530450820925,10.132588624954224
global_t,2,4.0,1.6689300537109375e-06,5.602836608886719e-05,10.350476503372192,10.350533485412598
global_t,3,4.0,7.152557373046875e-07,2.6226043701171875e-05,9.720207929611206,9.720241785049438
global_t,4,4.0,3.337860107421875e-06,5.626678466796875e-05,9.233739137649536,9.23379635810852
global_t,5,4.0,4.76837158203125e-07,2.7418136596679688e-05,9.774280071258543,9.77431344985962
global_t,6,4.0,3.337860107421875e-06,5.5789947509765625e-05,9.744939804077148,9.74499535560608
global_t,7,4.0,4.76837158203125e-07,2.6702880859375e-05,10.023837327957152,10.02386999130249
global_t,8,4.0,4.76837158203125e-07,2.6226043701171875e-05,10.218240022659302,10.21829605102539
global_t,9,4.0,2.1457672119140625e-06,7.343292236328125e-05,10.499211072921751,10.499250173568726
global_t,0,63.0,0.1184935569763183,6.651878356933594e-05,13.631781816482544,13.63185453414917
global_t,1,63.0,1.6689300537109375e-06,5.698204040527344e-05,13.60920476913452,13.609264135360718
global_t,2,63.0,4.76837158203125e-07,4.220008850097656e-05,14.004002571105955,14.00405240058899
global_t,3,63.0,3.0994415283203125e-06,6.127357482910156e-05,13.102360486984251,13.10241675376892
global_t,4,63.0,1.1920928955078125e-06,3.075599670410156e-05,11.838731527328491,11.83876347541809
global_t,5,63.0,3.0994415283203125e-06,4.76837158203125e-05,14.104759693145752,14.104824304580688
global_t,6,63.0,4.76837158203125e-07,4.1484832763671875e-05,12.87464714050293,12.87467885017395
global_t,7,63.0,7.152557373046875e-07,3.0517578125e-05,14.8422532081604,14.842310667037964
global_t,8,63.0,1.9073486328125e-06,5.984306335449219e-05,14.19442582130432,14.194465398788452
global_t,9,63.0,4.76837158203125e-07,3.1948089599609375e-05,13.521720170974731,13.521751880645752
global_t,0,91.0,0.107816457748413,6.437301635742188e-05,13.854336261749268,13.854422569274902
global_t,1,91.0,1.6689300537109375e-06,5.5789947509765625e-05,13.578463554382324,13.578524827957152
global_t,2,91.0,4.76837158203125e-07,3.0517578125e-05,13.328540325164797,13.328579187393188
global_t,3,91.0,1.430511474609375e-06,6.437301635742188e-05,13.381356954574583,13.381424903869627
global_t,4,91.0,4.76837158203125e-07,2.9802322387695312e-05,13.350183963775637,13.350220680236816
global_t,5,91.0,1.430511474609375e-06,5.936622619628906e-05,13.223339080810549,13.223400831222534
global_t,6,91.0,4.76837158203125e-07,3.147125244140625e-05,13.289186716079712,13.28922414779663
global_t,7,91.0,1.6689300537109375e-06,6.008148193359375e-05,12.943039417266846,12.943102359771729
global_t,8,91.0,7.152557373046875e-07,3.1948089599609375e-05,12.60454535484314,12.604583501815796
global_t,9,91.0,9.5367431640625e-07,2.956390380859375e-05,13.490971565246582,13.49103307723999
global_t,0,98.0,0.107943058013916,6.246566772460938e-05,13.585484981536863,13.585570335388184
global_t,1,98.0,1.9073486328125e-06,5.4836273193359375e-05,13.370547771453856,13.370617866516112
global_t,2,98.0,7.152557373046875e-07,2.574920654296875e-05,12.37155270576477,12.371583461761476
global_t,3,98.0,3.0994415283203125e-06,6.961822509765625e-05,13.2364501953125,13.236506223678589
global_t,4,98.0,4.76837158203125e-07,2.5033950805664062e-05,13.751796960830688,13.751826763153076
global_t,5,98.0,1.9073486328125e-06,5.459785461425781e-05,13.588170766830444,13.588228702545166
global_t,6,98.0,9.5367431640625e-07,2.5033950805664062e-05,13.354814291000366,13.35484504699707
global_t,7,98.0,4.76837158203125e-07,2.5987625122070312e-05,13.476213455200195,13.476245641708374
global_t,8,98.0,2.1457672119140625e-06,5.555152893066406e-05,18.227607250213623,18.227684497833252
global_t,9,98.0,9.5367431640625e-07,2.5272369384765625e-05,13.66379714012146,13.663827180862429
global_t,0,120.0,0.0075385570526123,6.580352783203125e-05,13.259984731674194,13.260054349899292
global_t,1,120.0,7.152557373046875e-07,4.6253204345703125e-05,13.24729347229004,13.247342109680176
global_t,2,120.0,2.1457672119140625e-06,6.127357482910156e-05,13.484585523605348,13.484639406204224
global_t,3,120.0,1.6689300537109375e-06,6.270408630371094e-05,13.472652435302734,13.47273087501526
global_t,4,120.0,4.76837158203125e-07,2.5033950805664062e-05,13.712675094604492,13.712706327438354
global_t,5,120.0,2.86102294921875e-06,4.696846008300781e-05,13.700932502746582,13.700970649719238
global_t,6,120.0,7.152557373046875e-07,4.7206878662109375e-05,13.612546443939207,13.612594366073608
global_t,7,120.0,4.76837158203125e-07,2.7418136596679688e-05,13.028847217559814,13.028879404067991
global_t,8,120.0,2.86102294921875e-06,4.6253204345703125e-05,12.425381898880005,12.425440073013306
global_t,9,120.0,9.5367431640625e-07,3.838539123535156e-05,13.44831109046936,13.448341846466064
global_t,0,61.0,0.1101858615875244,6.0558319091796875e-05,13.498400688171388,13.498478174209597
global_t,1,61.0,1.9073486328125e-06,5.3882598876953125e-05,12.92904567718506,12.929108381271362
global_t,2,61.0,7.152557373046875e-07,3.027915954589844e-05,13.002170085906982,13.002207279205322
global_t,3,61.0,2.1457672119140625e-06,6.008148193359375e-05,12.842522382736206,12.84258198738098
global_t,4,61.0,1.1920928955078125e-06,4.2438507080078125e-05,13.33627223968506,13.33630871772766
global_t,5,61.0,1.1920928955078125e-06,3.0517578125e-05,13.60322093963623,13.60326051712036
global_t,6,61.0,2.1457672119140625e-06,6.079673767089844e-05,12.89633584022522,12.896392822265623
global_t,7,61.0,4.76837158203125e-07,2.9087066650390625e-05,12.54812502861023,12.548161029815674
global_t,8,61.0,3.337860107421875e-06,6.246566772460938e-05,12.261207818984984,12.261271953582764
global_t,9,61.0,4.76837158203125e-07,5.0067901611328125e-05,12.50853681564331,12.508569717407228
global_t,0,13.0,0.1209003925323486,7.891654968261719e-05,3.4591424465179443,3.459228992462158
global_t,1,13.0,1.430511474609375e-06,5.340576171875e-05,3.4100096225738525,3.4100680351257324
global_t,2,13.0,2.384185791015625e-07,4.38690185546875e-05,3.4320483207702637,3.4321067333221436
global_t,3,13.0,1.430511474609375e-06,7.009506225585938e-05,3.397986650466919,3.3980467319488525
global_t,4,13.0,7.152557373046875e-07,2.956390380859375e-05,3.4119811058044434,3.412017345428467
global_t,5,13.0,1.6689300537109375e-06,6.29425048828125e-05,3.462597370147705,3.462660312652588
global_t,6,13.0,4.76837158203125e-07,3.027915954589844e-05,3.4483320713043213,3.448368549346924
global_t,7,13.0,3.337860107421875e-06,5.1021575927734375e-05,3.435107469558716,3.435171365737915
global_t,8,13.0,9.5367431640625e-07,4.410743713378906e-05,3.3465237617492676,3.3465607166290283
global_t,9,13.0,3.0994415283203125e-06,4.863739013671875e-05,3.380035161972046,3.3800976276397705
global_t,0,116.0,0.1218035221099853,6.437301635742188e-05,13.614199876785278,13.614274740219116
global_t,1,116.0,1.6689300537109375e-06,5.221366882324219e-05,14.544540405273438,14.544593572616575
global_t,2,116.0,7.152557373046875e-07,2.5272369384765625e-05,14.00403928756714,14.004070281982422
global_t,3,116.0,3.337860107421875e-06,4.935264587402344e-05,14.355863332748411,14.355913877487184
global_t,4,116.0,4.76837158203125e-07,3.719329833984375e-05,14.537928819656372,14.537960290908812
global_t,5,116.0,3.337860107421875e-06,5.1021575927734375e-05,14.399932622909546,14.399983644485474
global_t,6,116.0,4.76837158203125e-07,2.765655517578125e-05,13.855016469955444,13.855047941207886
global_t,7,116.0,4.76837158203125e-07,2.6702880859375e-05,14.3652024269104,14.365235090255736
global_t,8,116.0,1.9788742065429688e-05,5.3882598876953125e-05,14.228230714797974,14.228283643722534
global_t,9,116.0,4.76837158203125e-07,4.9591064453125e-05,13.828934669494627,13.828966856002808
global_t,0,31.0,0.1213994026184082,6.651878356933594e-05,3.4915449619293213,3.4916276931762695
global_t,1,31.0,1.6689300537109375e-06,5.507469177246094e-05,3.438887357711792,3.438948154449463
global_t,2,31.0,1.6689300537109375e-06,5.602836608886719e-05,3.392104148864746,3.3921761512756348
global_t,3,31.0,7.152557373046875e-07,2.9325485229492188e-05,3.39396071434021,3.393998622894287
global_t,4,31.0,3.0994415283203125e-06,5.698204040527344e-05,3.4568912982940674,3.4569528102874756
global_t,5,31.0,4.76837158203125e-07,3.123283386230469e-05,3.479528427124023,3.479567289352417
global_t,6,31.0,2.86102294921875e-06,5.650520324707031e-05,3.4029576778411865,3.40301513671875
global_t,7,31.0,7.152557373046875e-07,3.170967102050781e-05,3.3692498207092285,3.369288206100464
global_t,8,31.0,1.9073486328125e-06,5.4836273193359375e-05,3.3717782497406006,3.3718369007110596
global_t,9,31.0,4.76837158203125e-07,3.0994415283203125e-05,3.4216597080230713,3.421696424484253
global_t,0,11.0,0.1087191104888916,6.937980651855469e-05,4.209673881530762,4.209747314453125
global_t,1,11.0,1.6689300537109375e-06,5.6743621826171875e-05,4.202757120132446,4.202816486358643
global_t,2,11.0,7.152557373046875e-07,3.170967102050781e-05,4.133370399475098,4.133406400680542
global_t,3,11.0,1.430511474609375e-06,6.818771362304688e-05,4.099901914596558,4.099961996078491
global_t,4,11.0,4.76837158203125e-07,2.6702880859375e-05,4.331567764282227,4.3316028118133545
global_t,5,11.0,1.430511474609375e-06,6.794929504394531e-05,4.133841514587402,4.1339006423950195
global_t,6,11.0,4.76837158203125e-07,3.075599670410156e-05,4.127913475036621,4.127949953079224
global_t,7,11.0,1.6689300537109375e-06,6.365776062011719e-05,4.238903284072876,4.238964796066284
global_t,8,11.0,7.152557373046875e-07,2.8848648071289062e-05,4.2447943687438965,4.244828462600708
global_t,9,11.0,1.9073486328125e-06,8.845329284667969e-05,4.244898796081543,4.244966506958008
