data,timestep,rank,get_contract,publish_request,scatter,publish
global_t,0,13.0,0.1217848099768161,7.575983181595802e-05,1.9150797980837524,1.9150992650538683
global_t,1,13.0,7.981434464454651e-07,5.336292088031769e-05,1.9150797980837524,2.7474015951156616e-07
global_t,2,13.0,6.719492375850677e-07,6.12037256360054e-05,1.286689146887511,1.286706059705466
global_t,3,13.0,3.945082426071167e-06,4.4798944145441055e-05,1.286689146887511,2.94763594865799e-07
global_t,4,13.0,6.868503987789154e-07,4.484690725803375e-05,1.3255979279056191,1.3256170731037855
global_t,5,13.0,1.376960426568985e-06,2.9169954359531403e-05,1.3255979279056191,3.16184014081955e-07
global_t,6,13.0,7.729977369308472e-07,4.8999208956956863e-05,1.2679074527695775,1.2679249262437224
global_t,7,13.0,1.234002411365509e-06,4.4484157115221024e-05,1.2679074527695775,2.877786755561829e-07
global_t,8,13.0,6.998889148235321e-07,3.196904435753822e-05,1.1899433890357614,1.1899547670036554
global_t,9,13.0,5.273148417472839e-06,4.701130092144013e-05,1.1899433890357614,3.189779818058014e-07
global_t,10,13.0,8.400529623031616e-07,3.328174352645874e-05,1.1598240709863603,1.159844710957259
global_t,11,13.0,1.58604234457016e-06,4.581408575177193e-05,1.1598240709863603,3.091990947723389e-07
global_t,0,35.0,0.1224166769534349,7.863901555538177e-05,0.4634058475494385,0.4634239915758371
global_t,1,35.0,1.8794089555740356e-06,6.65169209241867e-05,0.4634058475494385,2.1792948246002197e-07
global_t,2,35.0,1.9352883100509644e-06,5.996227264404297e-05,0.4901515729725361,0.4901687670499086
global_t,3,35.0,7.282942533493042e-07,2.938881516456604e-05,0.4901515729725361,3.091990947723389e-07
global_t,4,35.0,1.950189471244812e-06,4.790164530277252e-05,0.4785832446068525,0.4786001648753881
global_t,5,35.0,7.431954145431519e-07,4.4442713260650635e-05,0.4785832446068525,2.3655593395233154e-07
global_t,6,35.0,1.084059476852417e-06,3.092922270298004e-05,0.4624072890728712,0.4624199885874986
global_t,7,35.0,2.3525208234786987e-06,4.8259273171424866e-05,0.4624072890728712,2.831220626831055e-07
global_t,8,35.0,8.437782526016235e-07,4.077889025211334e-05,0.454400384798646,0.4544192180037498
global_t,9,35.0,8.270144462585449e-07,3.0057504773139954e-05,0.454400384798646,2.775341272354126e-07
global_t,10,35.0,1.914799213409424e-06,4.784204065799713e-05,0.4864287134259939,0.4864456951618194
global_t,11,35.0,7.227063179016113e-07,3.21362167596817e-05,0.4864287134259939,2.998858690261841e-07
global_t,0,53.0,0.1238588262349367,7.421616464853287e-05,0.5296548223122954,0.5296751083806157
global_t,1,53.0,1.9846484065055847e-06,6.882939487695694e-05,0.5296548223122954,3.064051270484925e-07
global_t,2,53.0,1.8710270524024963e-06,6.233528256416321e-05,0.5468510398641229,0.5468697743490338
global_t,3,53.0,1.0943040251731873e-06,4.8978254199028015e-05,0.5468510398641229,2.738088369369507e-07
global_t,4,53.0,2.1262094378471375e-06,4.875287413597107e-05,0.5509349433705211,0.5509544657543302
global_t,5,53.0,8.922070264816284e-07,4.783831536769867e-05,0.5509349433705211,3.2316893339157104e-07
global_t,6,53.0,8.819624781608582e-07,3.105867654085159e-05,0.5104701463133097,0.5104853408411145
global_t,7,53.0,1.9632279872894287e-06,4.709511995315552e-05,0.5104701463133097,2.9616057872772217e-07
global_t,8,53.0,1.0579824447631836e-06,4.741549491882324e-05,0.5125826708972454,0.512602424249053
global_t,9,53.0,7.059425115585327e-07,3.2162293791770935e-05,0.5125826708972454,2.803280949592591e-07
global_t,10,53.0,5.355104804039001e-07,3.019813448190689e-05,0.5316114667803049,0.5316227125003934
global_t,11,53.0,8.558854460716248e-07,3.244355320930481e-05,0.5316114667803049,2.309679985046387e-07
global_t,0,82.0,0.1235498879104852,7.054395973682404e-05,1.997622698545456,1.9976402670145037
global_t,1,82.0,2.032145857810974e-06,5.79003244638443e-05,1.997622698545456,2.7194619178771973e-07
global_t,2,82.0,2.089887857437134e-06,4.544667899608612e-05,1.2117571160197258,1.2117718681693077
global_t,3,82.0,1.0952353477478027e-06,4.134327173233032e-05,1.2117571160197258,2.644956111907959e-07
global_t,4,82.0,2.0656734704971313e-06,4.500336945056915e-05,1.143950479105115,1.1439665369689465
global_t,5,82.0,1.0021030902862549e-06,6.810389459133148e-05,1.143950479105115,3.315508365631104e-07
global_t,6,82.0,9.57399606704712e-07,2.6244670152664185e-05,1.0585591793060305,1.0585695393383503
global_t,7,82.0,1.9203871488571167e-06,4.2499974370002747e-05,1.0585591793060305,2.7194619178771973e-07
global_t,8,82.0,1.078471541404724e-06,4.2065978050231934e-05,1.134765975177288,1.13478509709239
global_t,9,82.0,8.270144462585449e-07,2.6384368538856503e-05,1.134765975177288,2.980232238769531e-07
global_t,10,82.0,7.245689630508423e-07,2.7611851692199707e-05,1.09337467700243,1.0933859460055828
global_t,11,82.0,1.911073923110962e-06,4.364922642707825e-05,1.09337467700243,2.682209014892578e-07
global_t,0,31.0,0.1219545491039753,8.127279579639435e-05,1.042542364448309,1.0425663627684116
global_t,1,31.0,2.6673078536987305e-06,5.9407204389572144e-05,1.042542364448309,2.3655593395233154e-07
global_t,2,31.0,1.5664845705032349e-06,4.2574480175971985e-05,0.9283208511769772,0.9283395279198884
global_t,3,31.0,5.107372999191284e-06,5.943514406681061e-05,0.9283208511769772,2.4959444999694824e-07
global_t,4,31.0,4.384666681289673e-06,5.091167986392975e-05,1.0471904333680868,1.0472072008997202
global_t,5,31.0,1.2721866369247437e-06,4.4675543904304504e-05,1.0471904333680868,2.2910535335540774e-07
global_t,6,31.0,1.96695327758789e-06,2.9731541872024536e-05,0.8854661229997873,0.8854786064475775
global_t,7,31.0,5.200505256652832e-06,4.94830310344696e-05,0.8854661229997873,2.9616057872772217e-07
global_t,8,31.0,1.2442469596862793e-06,4.402734339237213e-05,1.1618814375251532,1.1618998181074858
global_t,9,31.0,1.1045485734939575e-06,2.8874725103378296e-05,1.1618814375251532,3.390014171600342e-07
global_t,10,31.0,1.1846423149108889e-06,2.9707327485084537e-05,1.079440040513873,1.0794523749500513
global_t,11,31.0,1.0058283805847168e-06,3.001093864440918e-05,1.079440040513873,2.682209014892578e-07
global_t,0,118.0,0.1214046720415353,6.672367453575134e-05,1.9582613166421652,1.958277016878128
global_t,1,118.0,1.7918646335601809e-06,7.024407386779785e-05,1.9582613166421652,3.110617399215698e-07
global_t,2,118.0,5.923211574554443e-07,3.9871782064437866e-05,1.19962396658957,1.1996418312191963
global_t,3,118.0,1.871958374977112e-06,5.9023499488830566e-05,1.19962396658957,2.123415470123291e-07
global_t,4,118.0,2.0042061805725098e-06,4.582852125167847e-05,1.2844092547893524,1.284424725919962
global_t,5,118.0,6.873160600662231e-07,5.5711716413497925e-05,1.2844092547893524,5.792826414108276e-07
global_t,6,118.0,5.364418029785156e-07,2.454221248626709e-05,1.2286967728286982,1.2287061680108309
global_t,7,118.0,1.871958374977112e-06,4.257075488567352e-05,1.2286967728286982,3.05473804473877e-07
global_t,8,118.0,5.327165126800537e-07,3.952905535697937e-05,1.1239170022308826,1.1239339895546436
global_t,9,118.0,6.463378667831421e-07,2.6281923055648804e-05,1.1239170022308826,2.9243528842926025e-07
global_t,10,118.0,5.792826414108276e-07,2.457760274410248e-05,1.190433982759714,1.190445028245449
global_t,11,118.0,2.246350049972534e-06,4.879198968410492e-05,1.190433982759714,5.047768354415894e-07
global_t,0,66.0,0.1229239106178283,6.829947233200073e-05,2.015687622129917,2.015708642080426
global_t,1,66.0,1.877546310424805e-06,5.598366260528565e-05,2.015687622129917,2.7194619178771973e-07
global_t,2,66.0,1.825392246246338e-06,5.945563316345215e-05,1.3039960488677025,1.3040113281458616
global_t,3,66.0,2.1364539861679077e-06,5.644373595714569e-05,1.3039960488677025,2.9616057872772217e-07
global_t,4,66.0,7.338821887969971e-07,4.129670560359955e-05,1.4351798947900534,1.4351975098252296
global_t,5,66.0,7.320195436477661e-07,2.7796253561973572e-05,1.4351798947900534,3.110617399215698e-07
global_t,6,66.0,2.175569534301758e-06,4.759989678859711e-05,1.339521186426282,1.33953801356256
global_t,7,66.0,6.165355443954468e-07,4.19076532125473e-05,1.339521186426282,3.557652235031128e-07
global_t,8,66.0,6.780028343200684e-07,2.9422342777252197e-05,1.1947980728000402,1.1948088519275188
global_t,9,66.0,6.48200511932373e-07,2.5583431124687195e-05,1.1947980728000402,2.775341272354126e-07
global_t,10,66.0,1.9203871488571167e-06,4.593655467033386e-05,1.1496883872896433,1.1497045047581196
global_t,11,66.0,9.853392839431765e-07,2.993084490299225e-05,1.1496883872896433,2.570450305938721e-07
global_t,0,9.0,0.1215223111212253,8.05240124464035e-05,1.9653221871703863,1.965341107919812
global_t,1,9.0,2.2258609533309937e-06,5.576945841312408e-05,1.9653221871703863,2.831220626831055e-07
global_t,2,9.0,2.0246952772140503e-06,4.6679750084877014e-05,1.4991142246872189,1.4991301223635674
global_t,3,9.0,8.586794137954712e-07,3.931112587451935e-05,1.4991142246872189,2.048909664154053e-07
global_t,4,9.0,1.909211277961731e-06,4.494376480579376e-05,1.5897952690720558,1.5898114759474993
global_t,5,9.0,7.394701242446899e-07,4.213489592075348e-05,1.5897952690720558,2.812594175338745e-07
