generation,rank,simulation,PDI,bar
0,49,1.175712042,3.399999992659275e-08,0.0021982520000001
1,49,1.149883733,3.199999998315661e-08,0.0012335979999997
2,49,1.203881136,3.6999999952769265e-08,8.416500000008043e-05
3,49,1.2380287209999996,3.2999999177718564e-08,0.0015868939999998
4,49,1.2331742820000002,3.4000000148637355e-08,7.55709999999965e-05
5,49,1.2543235719999997,2.999999981767587e-08,0.001282958
6,49,1.245617898,3.4999999343199306e-08,8.973399999945286e-05
7,49,1.225050383999999,3.5999999425939684e-08,0.000668461
8,49,1.2867580289999996,3.099999901223782e-08,0.0001514769999992
9,49,1.2958595840000005,3.199999909497819e-08,6.768899999975986e-05
0,16,1.174172168,3.3000000065896984e-08,0.0024511289999999
1,16,1.149774253,4.5999999809254184e-08,0.0013433660000004
2,16,1.2034214369999998,3.4000000148637355e-08,0.0005557300000003
3,16,1.2391126260000005,2.999999981767587e-08,0.0005638399999998
4,16,1.2314815550000002,4.7000000336083765e-08,0.0017124319999997
5,16,1.2538722930000006,3.3000000065896984e-08,0.0017168840000003
6,16,1.2452076720000005,3.3999999260458935e-08,0.0004908340000007
7,16,1.2256651520000013,3.6999999508680055e-08,6.785199999903568e-05
8,16,1.2863252979999995,3.3999999260458935e-08,0.0005787330000011
9,16,1.2952721050000005,3.4999999343199306e-08,0.0006563540000001
0,44,1.173878677,3.2999999843852386e-08,0.0031321189999999
1,44,1.147480522,3.6999999952769265e-08,0.0024797479999998
2,44,1.201876634,3.5000000231377726e-08,0.0020887029999996
3,44,1.2369760530000002,3.4000000148637355e-08,0.0028785849999994
4,44,1.2292527880000002,3.4000000148637355e-08,0.0037574759999996
5,44,1.254852443,3.3999999260458935e-08,0.0007529619999999
6,44,1.2429636139999989,3.2999999177718564e-08,0.0027303849999995
7,44,1.2223916250000002,3.200000087133503e-08,0.0033337300000013
8,44,1.2839892390000005,3.4000001036815775e-08,0.0029278060000006
9,44,1.292541700999999,2.7000000457633178e-08,0.0033850079999986
0,27,1.17124444,3.0000000039720476e-08,0.0019222029999999
1,27,1.149002007,4.7999999974734926e-08,0.0020639919999996
2,27,1.202757779,2.8000000096284342e-08,0.0012071200000001
3,27,1.238579697,2.699999956945476e-08,0.0010988340000004
4,27,1.2302735379999996,3.7000000396858474e-08,0.0029114450000005
5,27,1.254787244,2.7000000457633178e-08,0.0008186129999998
6,27,1.2439422500000008,2.600000037489281e-08,0.0017509449999995
7,27,1.2235518810000006,2.7000000457633178e-08,0.0021766979999995
8,27,1.2849034760000002,2.8999998846757083e-08,0.0020089249999983
9,27,1.2937339420000011,2.600000037489281e-08,0.0021916329999989
0,60,1.176540643,3.500000000933312e-08,0.0043008359999998
1,60,1.146041846,4.5999999809254184e-08,0.0029278409999999
2,60,1.2018719839999998,3.4000000148637355e-08,0.002090925
3,60,1.236988045,3.5000000231377726e-08,0.0029199259999996
4,60,1.2291553410000002,3.5000000231377726e-08,0.0038008720000002
5,60,1.251392976,3.5000000231377726e-08,0.004215663
6,60,1.243030796000001,3.4999999343199306e-08,0.0026626590000002
7,60,1.2222299899999989,3.5000001119556146e-08,0.003497459
8,60,1.2838599790000007,3.4000001036815775e-08,0.0030435099999994
9,60,1.292609681,3.5999999425939684e-08,0.0033167070000015
0,52,1.176572567,3.399999992659275e-08,0.002147294
1,52,1.14845525,3.4000000148637355e-08,0.002660611
2,52,1.201868917,3.6999999952769265e-08,0.0020957400000001
3,52,1.2369899869999998,3.4000000148637355e-08,0.0026619559999998
4,52,1.2294390899999996,3.4000000148637355e-08,0.0037749210000006
