generation,rank,simulation,PDI,bar
0,10,181.696684725,1.797880860000021,16.843634759999986
1,10,178.574761728,1.6180154159999915,16.84351386899999
2,10,180.94786343400008,1.6335623600000415,17.364851469999962
3,10,183.84302267299995,1.577388029999952,16.590242489000047
4,10,184.9471276669999,1.636024697000039,14.311366435999958
5,10,186.623857767,1.6824115290000918,18.777243622000015
6,10,187.00054293999983,1.702381994999996,15.44459054999993
7,10,187.70927868800004,1.7070279639999626,14.229335089000188
8,10,188.43098384199993,1.6594707350000135,14.011367758999995
9,10,189.934455266,1.650352466999948,17.11292291099994
10,10,190.6037204690001,1.62160462599968,14.029955974000131
11,10,191.2356447940001,30.004583163999996,0.167255422999915
0,93,182.124748942,15.742665245000012,2.8213010970000028
1,93,178.61984765199998,15.84866044200004,2.567691346999993
2,93,180.97326566900009,15.635906209999916,3.3370486569999684
3,93,183.54969821300008,15.459491354999956,3.0013965809999945
4,93,185.00183742399997,14.14738033599997,1.7453245589999824
5,93,186.46524933600008,14.405830045999892,6.212351708999904
6,93,186.97740143199985,14.432249494999953,2.737842799999953
7,93,187.75300362000007,14.13508822599988,1.7575314440000511
8,93,188.285780745,14.114320674000057,1.701691044000199
9,93,189.71552192800004,17.62292297099998,1.3592554350000228
10,93,190.3289688650002,13.800238810999872,2.1260043390002465
11,93,191.04942157200003,30.017073828999855,0.3409783609999977
0,70,182.279489087,8.49024051699999,10.106963960000002
1,70,178.619342723,7.767776690999995,10.649478407000004
2,70,180.955264672,8.223359584000036,10.768061953999904
3,70,183.507378831,8.145818690999931,10.35778412000002
4,70,184.81631528900004,8.218104284000106,7.860551963000035
5,70,186.325271981,8.279176222999922,12.479387148000114
6,70,186.85370651900007,7.577973377000035,9.71627274599996
7,70,187.5247591660002,8.395950268999968,7.725303023999913
8,70,188.14374429400004,7.863446982000141,8.934092174999932
9,70,188.799325684,12.018586402999972,7.040947510000024
10,70,190.37020409700017,8.313921571000265,7.571308709999812
11,70,191.04215850799983,30.00456078299976,0.3609930520001398
0,7,181.718059827,2.010298942999981,16.611150698000017
1,7,178.407905652,1.924321288000044,16.704087078999976
2,7,180.740409639,1.9022301969999944,17.303630036999948
3,7,183.42839372999993,1.9022828539999637,16.67999935199998
4,7,184.71091754199995,1.89564687699999,14.287861196999984
5,7,186.3207576619999,1.932773157999918,18.829924851999976
6,7,186.791804642,1.962357428000132,15.39329244999999
7,7,187.39847794300024,1.91275530300004,14.334361941999989
8,7,187.94216262400005,1.9555162280000784,14.204088821999903
9,7,189.52344096799993,1.7710486410001067,17.40316422900014
10,7,190.22768608200025,1.9085182630001327,14.119044624000251
11,7,190.76145163599995,30.00542702499979,0.6405609519997597
0,95,182.212789203,18.457376823000004,0.106518144000006
1,95,178.56322790700003,18.402638218999986,0.0702924400000029
2,95,180.951063481,18.923664788999982,0.071526791999986
3,95,183.465815507,18.088900122999917,0.4558713779999834
4,95,184.85253089499997,16.041863713999987,0.0001307300000235
5,95,186.32501292900008,20.73387126900002,0.0245519610000428
6,95,186.716320128,17.248732879000045,0.1824185870000292
7,95,187.46221430899985,16.040235599000198,0.143146520999835
8,95,188.0831845969999,15.947797021000042,0.0708034500000849
9,95,189.484945681,18.877982009000107,0.33473327899992
10,95,190.21547291000024,16.011218362999898,0.0285237919997598
11,95,190.7892733919998,30.00472107500036,0.6134731560000546
0,111,182.258691047,16.096379189000004,2.529136317999985
1,111,178.60305898900003,14.65771659799998,3.7754863959999625
2,111,180.951034394,15.932787545999986,3.062441758999966
3,111,183.42206905700004,15.470305474000044,3.1189287429999695
4,111,184.8752102340001,14.213515862000008,1.8051283480000393
5,111,186.391451643,14.162330652000035,6.529714754999986
6,111,186.71631851300003,13.12124864600014,4.309942172000092
7,111,187.459593691,14.261792776999982,1.9242704669998147
8,111,188.071628186,13.02383467200002,3.0063273119999394
9,111,189.53478851499997,14.751587042999972,4.411341784999877
10,111,190.1686225169999,13.321498610000162,2.765136251999593
11,111,190.70728220799992,30.004715269999902,0.6954561939996893
0,5,181.853857606,2.0291684919999966,16.592285581
1,5,178.539865917,1.9127946720000184,16.583586474000015
2,5,180.74036306200003,1.794375051999964,17.411486316000037
3,5,183.541700353,1.9401794180000709,16.5293762739999
4,5,184.71030806600004,1.9170552369999996,14.266490976
5,5,186.34539795500007,1.9417947080000888,18.796275723999997
6,5,186.9289773129999,1.978631494999945,15.239848258999928
7,5,187.57968212700007,1.996025760000066,14.069905110000036
8,5,188.15879556000004,1.913645625000072,14.02934261900009
9,5,189.691909787,1.9467445299999329,17.059089447999895
10,5,190.31059942200025,1.910849073999998,14.033882518000157
11,5,190.83205998300036,30.004703841000264,0.5707564809999894
0,45,182.548021081,8.716662306999979,9.863456972999984
1,45,178.62282555000002,13.928760491000048,4.483069855999986
2,45,180.89456662699996,16.48992268799998,2.56179254999995
3,45,183.60106461,13.71193099200002,4.698422539000035
4,45,184.76716586099997,13.526705637999951,2.5998710229999915
5,45,186.42527041800008,12.901848814000004,7.756303930000058
6,45,186.94267752700011,15.546494797999912,1.6583343160000368
7,45,187.47565596100003,13.950959484000125,2.2189430349999384
8,45,188.13829483699988,13.870520296999985,2.0929830899999615
9,45,189.7805006609999,17.290770251999902,1.6264075639999191
10,45,190.38465612900015,12.612233474999812,3.2584079470002507
11,45,190.9890508880003,30.004976024999905,0.4134921889999532
0,94,182.203468905,11.364406291999984,7.199421959000006
1,94,178.605098255,8.164501883000014,10.26658790199997
2,94,180.951097411,8.484589174000007,10.510567747000096
3,94,183.46584924899992,8.16546017799999,10.379277995000052
4,94,184.85572405899995,8.084472203000018,7.95432998900003
5,94,186.387809824,8.211749576999864,12.483879135000052
6,94,186.86473874800004,10.24184825899988,7.0408819810002115
7,94,187.603152336,8.220354403000101,7.82208969300018
8,94,188.1427677510001,8.11244826699999,7.846569299000066
9,94,189.6665418120001,9.169612675000051,9.861506213999974
10,94,190.21550597600003,8.065309866000007,7.974400203000187
11,94,190.88251288799984,30.00509874999989,0.5198539530001653
0,97,182.279426712,13.39764206800001,5.272241581000003
1,97,178.752624586,15.013034436000057,3.2705413959999987
2,97,181.115414331,17.004199005000032,1.8266451690000167
