generation,rank,simulation,PDI,bar
0,10,5.028271407999995,2.9110402929999992,4.517402113999999
1,10,5.042118277,2.628731252999998,6.002911193000003
2,10,4.792811802999999,2.8826813550000026,4.406969552999996
3,10,4.791320515999999,27.091174201,0.006842602000006
4,10,4.774413338000002,50.97951803299999,0.0066682670000091
5,10,4.7459347980000075,57.488528035,0.0063520109999899
6,10,4.728256305000002,52.72315809099999,0.0068150530000252
7,10,4.728902538,55.498523772,0.0068119480000063
8,10,4.704708008000011,52.828629568999986,0.0066330450000009
9,10,4.709253736999983,53.972577822000005,0.006324362999976
0,93,5.003516337000001,5.738635504000001,1.699390690000001
1,93,5.044047633000005,5.735815425999995,2.893868259999998
2,93,4.781059687999999,5.725059881,1.5763668190000004
3,93,4.790779954000001,27.095854958000004,0.002086943000009
4,93,4.7690444600000035,50.989753251999986,0.0022075910000012
5,93,4.738653026000009,57.500013016,0.0020198820000132
6,93,4.716682692000006,52.739373406,0.0020612639999626
7,93,4.729009523999991,55.50290437999996,0.0021813939999901
8,93,4.700222723999957,52.83780186299998,0.0018441240000015
9,93,4.699625312000023,53.98657452200001,0.0018360809999649
0,70,5.015847165000004,5.628737387000001,1.8071896269999996
1,70,5.050312517000002,4.585411751000002,4.038062718999996
2,70,4.782607119999994,5.690213931000002,1.6096918159999944
3,70,4.800302624000011,27.085125366,0.0033482559999953
4,70,4.770986520000008,50.986459841,0.0036559599999748
5,70,4.735092597000005,57.502663556000016,0.0030651570000088
6,70,4.718830380000014,52.73586398799998,0.0035768699999607
7,70,4.726645743000006,55.50430862400003,0.0033125030000178
8,70,4.697920889999978,52.83867186600003,0.0034126890000152
9,70,4.696898401999988,53.98841469500002,0.0028307990000371
0,7,5.027344411000001,2.0390074620000007,5.390694792000005
1,7,5.0453323070000025,1.903203112,6.725185345
2,7,4.773322233999998,2.020548570999992,5.288603562999995
3,7,4.781000131999988,27.101450748000005,0.0067819129999975
4,7,4.768084109,50.985644733000015,0.0069812360000014
5,7,4.742363512999987,57.492147794000005,0.0063050329999896
6,7,4.717734774999997,52.733734741000006,0.0067651390000378
7,7,4.719548583000005,55.50780415599996,0.006882604999987
8,7,4.69257578700001,52.840617764,0.0067818340000371
9,7,4.697292791999985,53.98449323,0.0063683079999918
0,95,5.010738015000001,5.071141654000002,2.3665766149999996
1,95,5.041304644,5.8293342779999975,2.8030928240000037
2,95,4.775205802999999,4.913792827000002,2.393497246999999
3,95,4.7906923930000005,27.09598314900001,0.0023999770000102
4,95,4.76899167900001,50.98942305000001,0.0022407099999952
5,95,4.738318036999999,57.500453376999985,0.0019294539999918
6,95,4.716804354999994,52.739301103,0.0020265029999677
7,95,4.7256365360000245,55.50649150300001,0.0019842890000063
8,95,4.696431771999983,52.84155561,0.001880538000023
9,95,4.695977825999989,53.99050304000002,0.0015509720000181
0,111,5.020392360999999,5.3762066880000035,2.0580402289999995
1,111,5.043097088000003,5.591767418000003,3.039291691999999
2,111,4.774930847,5.718212831000002,1.5894386500000053
3,111,4.787101261999993,27.100608526,0.0010614709999998
4,111,4.7704279279999895,50.989614067000005,0.0011267790000033
5,111,4.738474118999989,57.50163901299999,0.0007670389999816
6,111,4.714981558000005,52.742258514000014,0.0010593439999979
7,111,4.725791491999985,55.507479187,0.0010237449999976
8,111,4.6965726199999835,52.84262525999998,0.0008589139999912
9,111,4.696130260000018,53.99128161499999,0.0008093540000118
0,5,5.020819567000004,2.0538513010000017,5.381038396000001
1,5,5.051185753999995,1.8992349749999988,6.7233019770000055
2,5,4.781586662999999,2.0387554290000054,5.26212467500001
3,5,4.787946055999996,27.09437583899999,0.0071002529999901
4,5,4.768568735000002,50.985053577,0.0069398509999984
5,5,4.744421235999994,57.489815644,0.0066006350000122
6,5,4.72181057200001,52.72934561400001,0.0071027460000436
7,5,4.722958758000004,55.50432014299997,0.0069813540000041
8,5,4.6973918939999635,52.83564985200002,0.0069501959999911
9,5,4.701839527000004,53.98026284399998,0.0060737179999819
0,45,5.010296193999999,5.598800308000001,1.835728926999998
1,45,5.0485240430000005,5.495424465000006,3.1298216670000016
2,45,4.780354389999999,5.436215257999997,1.8659368579999975
3,45,4.794134841000002,27.09017846900001,0.0044570029999988
4,45,4.773279619999997,50.982861113,0.0049447459999782
5,45,4.736723928999993,57.49949776,0.0045521229999963
6,45,4.721409921000003,52.73201059399997,0.0047776160000125
7,45,4.726629467999999,55.502643826999986,0.0048976029999607
8,45,4.697845037000036,52.83730073099997,0.0048039210000183
9,45,4.7015010579999625,53.98239460599996,0.0041945140000052
0,94,5.010794029000003,3.5452875789999965,3.892403551000001
1,94,5.041332096000005,4.894141536999996,3.7382557619999943
2,94,4.775236909,3.558871000000003,3.748388696999996
3,94,4.790724093000009,27.096090835,0.002263984999999
4,94,4.769025701999993,50.98946259000002,0.0021663880000062
5,94,4.738363657000008,57.500593135,0.0017447549999758
6,94,4.716842134000018,52.73917012700002,0.0021154929999624
