generation,rank,Scatter,Publish,Queues
4,78,1.2937478814274073,1.4103469857946038,0.1164353135973215
5,78,1.1962497280910611,1.3510853312909603,0.1547748669981956
6,78,1.308743906207383,1.4241272136569023,0.1152330609038472
7,78,1.2108777603134513,1.3216848457232118,0.1107062641531229
8,78,1.2209698483347893,1.3427988085895777,0.1217675786465406
9,78,1.269255684688687,1.3225972913205624,0.053202704526484
0,4,1.7555248104035854,1.8700393876060843,0.1142627764493227
1,4,1.701618761755526,1.832703439518809,0.1308976728469133
2,4,1.9091805517673492,1.9471103474497795,0.0377582823857665
3,4,1.735862367786467,1.783794729039073,0.0477696564048528
4,4,1.7160766031593084,1.839895784854889,0.123737359419465
5,4,1.9163327580317857,1.9449098920449617,0.0284224124625325
6,4,1.75799700897187,1.8698575561866164,0.111763528548181
7,4,1.7372992262244225,1.8811875144019723,0.1438124980777502
8,4,1.655941953882575,1.7731283884495497,0.117125354707241
9,4,1.5895298775285482,1.7017682995647192,0.1121783498674631
0,63,0.8448125720024109,0.9498825250193476,0.1048026178032159
1,63,1.0912721753120422,1.2053827522322536,0.1140191191807389
2,63,0.8674233024939895,0.9867741214111448,0.1191832004114985
3,63,0.8480151481926441,0.9632645417004824,0.1150831189006567
4,63,0.870601168833673,0.9905531648546456,0.119885585270822
5,63,0.6992320325225592,0.8250566637143493,0.1256770491600036
6,63,0.7793728690594435,0.8929068138822913,0.1134419739246368
7,63,0.75594137981534,0.8594884341582656,0.1034840559586882
8,63,0.7357014510780573,0.7695562047883868,0.0337870949879288
9,63,0.7109781904146075,0.7638033302500844,0.0527479089796543
0,91,1.8102390244603157,1.9195011854171753,0.1089855330064892
1,91,1.9096818584948776,1.9967841636389496,0.0869332011789083
2,91,2.2023437079042196,2.317406553775072,0.1148985810577869
3,91,1.7179756360128522,1.8251470420509577,0.107029277831316
4,91,1.8421320170164108,1.961806120350957,0.1195891862735152
5,91,2.1472243135794997,2.273934829980135,0.1266470653936267
6,91,1.7593817431479692,1.8764560455456376,0.1169349253177642
7,91,1.8044104045256972,1.937483354471624,0.1329865250736475
8,91,1.74759176466614,1.8642244031652808,0.1165713155642151
9,91,1.7488176878541708,1.865767914801836,0.1168869202956557
0,98,0.9419989178422838,1.055304623907432,0.1130209271796047
