data,timestep,rank,get_contract,publish_request,scatter,publish
global_t,0,104.0,0.09736872650682926,1.3597309589385986e-07,1.4136946480721235,1.4137178771197796
global_t,1,104.0,7.016398012638092e-05,1.30385160446167e-07,0.5683439411222935,0.5683675985783339
global_t,2,104.0,6.199628114700317e-05,1.4156103134155273e-07,0.5224559493362904,0.522472633048892
global_t,3,104.0,3.513321280479431e-05,1.341104507446289e-07,0.3783954009413719,0.3784134369343519
global_t,4,104.0,6.53974711894989e-05,1.2479722499847412e-07,0.5276089049875736,0.527626408264041
global_t,5,104.0,3.6716461181640625e-05,1.30385160446167e-07,0.5355207622051239,0.5355386342853308
global_t,6,104.0,6.0191377997398376e-05,1.3597309589385986e-07,0.5527995601296425,0.5528171639889479
global_t,7,104.0,2.9189512133598328e-05,1.3597309589385986e-07,0.5216529835015535,0.5216656439006329
global_t,8,104.0,3.779865801334381e-05,1.2852251529693604e-07,0.48715504445135593,0.4871728587895632
global_t,9,104.0,2.831593155860901e-05,1.30385160446167e-07,0.520856611430645,0.5208693537861109
global_t,10,104.0,5.893222987651825e-05,1.73225998878479e-07,0.5437859501689672,0.5438036192208529
global_t,11,104.0,2.8621405363082886e-05,1.2665987014770508e-07,0.4976618271321058,0.497673949226737
