generation,rank,Scatter,Publish,Queues
0,4,1.6823519496247172,1.6855297349393368,0.0028447229415178
1,4,4.486457579769194,4.490610195323825,0.0039748633280396
2,4,1.7936917562037706,1.7978865327313542,0.0040469793602824
3,4,1.6258560791611671,1.630976994521916,0.0050221625715494
4,4,4.63714996073395,4.63968326151371,0.0023627579212188
5,4,1.7803426245227456,7.077904409728944,5.297501145862043
6,4,3.78291099332273,8.612072801217437,4.828990154899657
7,4,1.3949573496356606,7.871766300871968,6.4767454750835896
8,4,1.6255974248051643,8.273964281193912,6.648305058479309
9,4,4.503446690738201,10.260463603772225,5.756868583150208
0,6,1.8706557508558035,1.8736936571076512,0.002758564427495
1,6,3.828576131723821,3.846242875792086,0.0174959022551774
2,6,1.9555172892287376,1.9604763919487596,0.0047666309401392
3,6,1.6218108600005507,1.627160559408367,0.0052114371210336
4,6,4.010668956674635,4.026228139176965,0.0154742011800408
5,6,1.8709615711122751,7.078281833790243,5.207151306793094
6,6,4.394776620902121,8.613956787623465,4.219087120145559
7,6,1.7776412619277835,7.867886223830283,6.090182341635227
8,6,1.8843466006219387,8.27517597656697,6.390765545889735
9,6,4.193103748373687,10.261313296854496,6.0680290181189775
0,7,1.673108826391399,1.6760066524147987,0.0026295697316527
1,7,3.885985432192683,3.8981756949797273,0.0120023768395185
2,7,1.6808481318876147,1.6836912902072072,0.00275051407516
3,7,1.6493900083005428,1.6545330882072449,0.0049712974578142
4,7,4.084818138740957,4.088289590552449,0.0033047199249267
5,7,1.4717704327777028,7.079343129880726,5.607496346347034
6,7,3.748026299290359,8.613117203116417,4.864945858716965
7,7,1.6635236842557788,7.866680946201086,6.203074533492327
8,7,1.6516953073441982,8.275061235763133,6.623301348648965
9,7,4.170382779091597,10.262321743182838,6.091856978833675
0,5,1.946386934258044,1.949696279130876,0.0030463226139545
1,5,4.696881732903421,4.701333952136338,0.0042758164927363
2,5,1.98946909699589,1.994025819003582,0.0043882438912987
3,5,1.887816708534956,1.8925808314234016,0.0046168472617864
4,5,4.608119484037161,4.611449710093439,0.0032412195578217
5,5,2.0485412226989865,7.077621813863516,5.029013654217124
6,5,3.9479905497282743,8.611430493183434,4.6632645996287465
7,5,1.929633722640574,7.853881295770407,5.924181095324457
8,5,1.8972852947190404,8.273946383967996,6.376574620604515
9,5,4.571651418693364,10.261072373017669,5.689354310743511
0,0,1.412640335969627,1.415214637061581,0.0023328149691224
1,0,1.381518489914015,1.3844472609926015,0.0027701889630407
2,0,1.7640513360965997,1.7681108058895916,0.003877867013216
3,0,1.3723882869817317,1.3776999220717698,0.005231095245108
4,0,1.3666124460287392,1.4350388529710472,0.0682856771163642
5,0,1.5414999679196626,1.5453651209827513,0.0037562851794064
6,0,1.3593261940404773,1.3622492249123752,0.0028637538198381
7,0,1.6015327610075474,1.605473852949217,0.0037634989712387
8,0,1.3943978929892182,1.397866497049108,0.0034099572803825
9,0,1.3713558360468596,1.4099772090557965,0.0385625769849866
0,3,1.4109142012894154,1.413552620448172,0.0023742849007248
1,3,5.919774116948247,5.923923470079899,0.0039602750912308
2,3,1.7993886722251773,1.8037261944264176,0.004154996946454
3,3,1.5953780869022012,1.6007476700469851,0.0052981274202466
4,3,4.981494686566293,4.984280776232481,0.0026171281933784
5,3,1.6385148502886295,7.077639109455049,5.439056801609695
6,3,4.520681916736066,8.61238179076463,4.091553560458124
7,3,1.413971221074462,7.852969344705343,6.438906776718795
8,3,1.4169341186061502,8.273368177935481,6.85634917486459
9,3,6.377219624817371,10.261209544725716,3.8839033199474216
0,1,1.693290107185021,1.696108252974227,0.0025316500104963
1,1,1.6875239750370383,1.7012198269367218,0.0135271919425576
2,1,1.8704925440251827,1.8747911711689085,0.0041283359751105
3,1,1.8249212771188468,1.8288637651130557,0.0037750280462205
4,1,1.5529358279891312,1.6862795311026275,0.1332766721025109
5,1,1.855712151154876,1.859115223865956,0.0032620539423078
6,1,1.5739932521246374,1.6420109579339623,0.0679256608709693
7,1,1.8068075918126851,1.812031882116571,0.0051529109477996
8,1,1.7116934510413555,1.7193413130007684,0.0075832151342183
9,1,1.6153902420774102,1.6530952900648117,0.0376378018409013
0,2,1.75503767747432,1.7580255521461368,0.0027387766167521
1,2,3.810149798169732,3.8469867315143342,0.0366394976153969
2,2,1.9162594862282276,1.921072667464614,0.0046372693032026
3,2,1.4013119284063578,1.406130469404161,0.004669944755733
4,2,4.047627583146095,4.06371870264411,0.016000447794795
5,2,1.7590413065627215,7.076341090723872,5.317151761613786
6,2,4.291742361150682,8.612965454347432,4.321100837551057
7,2,1.6799743110314012,7.8663615277037024,6.186295880004764
8,2,1.782245528884232,8.273573534563184,6.491261201910675
9,2,4.212569658644497,10.26032216474414,6.047602140344679
