generation,rank,Scatter,Publish,Queues
0,4,0.9805102562531828,0.996797057799995,0.0160128539428114
1,4,0.6804480869323015,0.6950101805850863,0.0144001683220267
2,4,0.961209973320365,0.9783624866977334,0.0170160168781876
3,4,0.963649514131248,9.728740353137256,8.764998554252088
4,4,0.7613167846575379,10.439130972139536,9.677649971097708
5,4,0.9495583064854144,11.08653632644564,10.136916947551072
6,4,0.9372673407197,11.410033253021538,10.472604391165078
7,4,0.943269937299192,11.327029766514896,10.383660413324831
8,4,0.895958298817277,10.853489915840328,9.957462321966888
9,4,0.9068546947091818,10.92371710576117,10.016693914309144
0,13,0.959618649445474,0.9760015346109868,0.0161316096782684
1,13,0.9052828308194876,0.9206429468467832,0.0151956873014569
2,13,0.9763512359932064,0.9942893320694566,0.0177638148888945
3,13,0.8668363755568862,9.723481684923172,8.856506339274347
4,13,0.9167470531538128,10.437900748103855,9.521070064045489
5,13,0.8112031864002347,11.0850115949288,10.273669705726206
6,13,0.9609708916395904,11.408690073527396,10.447634525597095
7,13,0.938424788415432,11.326282899826763,10.387793808244169
8,13,0.8643652023747563,10.851160511374474,9.986635972745717
9,13,0.965020895935595,10.922079842537642,9.956972901709378
0,31,0.7060720650479198,0.711935403989628,0.0056221330305561
1,31,0.6908574989065528,0.6933938480215147,0.0023637880804017
2,31,0.7501910360297188,0.7520814830204472,0.0017515040235593
3,31,0.8244238889310509,9.730980379041284,8.906470683054067
4,31,0.8150293159997091,10.434338877093978,9.619147450081073
5,31,0.8211553749861196,11.090453071054071,10.26923025411088
6,31,0.7238701459718868,11.413364451029338,10.689357856987044
7,31,0.7022948379162699,11.331075657973996,10.628684627008624
8,31,0.8056890949374065,10.858053650939835,10.052299544098789
9,31,0.8317187309730798,10.927229987923056,10.095370644005015
0,11,0.8283038903027773,0.8428644919767976,0.0142779983580112
1,11,0.8305604793131351,0.8454802231863141,0.0148184532299637
2,11,0.8671842375770211,0.8830500794574618,0.0156869832426309
3,11,0.8309802236035466,9.72916206996888,8.898009842261672
4,11,0.8301817514002323,10.44050901196897,9.610162841156123
5,11,0.8285886598750949,11.088759056292474,10.260080230422318
6,11,0.7200415832921863,11.41209366824478,10.691904149018228
7,11,0.7797233983874321,11.329568803310394,10.549754451029004
8,11,0.7325313743203878,10.856275640428066,10.12367634102702
9,11,0.777472740970552,10.92595396284014,10.148317186161876
0,22,0.6910120192915201,0.7046592170372605,0.0133909862488508
1,22,0.6791344759985805,0.6930988971143961,0.0138055672869086
2,22,0.7363386992365122,0.7517209369689226,0.0152207380160689
3,22,0.8241943549364805,9.722934001125395,8.898610279895365
4,22,0.7539438838139176,10.435312732122838,9.681285780854523
5,22,0.7340727485716343,11.087305882014334,10.353097600862384
6,22,0.7069306019693613,11.411338451318445,10.704319261014462
7,22,0.6787691060453653,11.328721413388848,10.649890693835914
8,22,0.8167271967977285,10.85396085958928,10.037101994268596
9,22,0.7091782176867127,10.92495066858828,10.215691345743837
0,29,0.9434280968271196,0.9497926868498324,0.0061195427551865
1,29,0.956240045838058,0.9603213248774408,0.0038989172317087
2,29,0.9485772550106047,0.9667112440802156,0.0179740129970014
3,29,0.8017932279035449,9.728801507037131,8.926918889861554
4,29,0.961391853634268,10.43459535902366,9.473037001211196
5,29,0.774581978097558,11.087884324602785,10.31323524704203
6,29,0.9291969467885792,11.410359059926122,10.48102481942624
7,29,0.8699233811348677,11.32750817388296,10.457489337772133
8,29,0.9634111491031944,10.854413484688848,9.890936824027447
9,29,0.9436862664297224,10.923285723663868,9.979457322508097
0,20,0.962912300019525,0.9798877149587496,0.0166946341050788
1,20,0.748775030951947,0.7639464510139078,0.0150077601429075
2,20,0.9023721769917756,0.9187849489971996,0.0162329069571569
3,20,0.9097411429975182,9.724714751937428,8.81491204793565
4,20,0.8184972821036354,10.43576124694664,9.617097828886472
5,20,0.949620712082833,11.086446300032549,10.136762729962356
6,20,0.90099074493628,11.409067342989148,10.507937196060084
7,20,0.9218718350166456,11.326017204090022,10.404055627062917
8,20,0.9466460520634428,10.852842067019084,9.90613458910957
9,20,0.9327153590274976,10.922588629997335,9.989717373042367
0,9,0.7035596929490566,0.7173167150467634,0.013481548987329
1,9,1.170780030079186,1.185989459976554,0.0150454621762037
2,9,0.8253205430228263,0.8403622179757804,0.0149486260488629
3,9,0.8453020381275564,9.72721850196831,8.881768024060875
4,9,0.8283563281875104,10.43877529609017,9.610334686934948
5,9,0.7377419010736048,11.085785529809073,10.347905765054747
6,9,0.8316411720588803,11.409540025983006,10.577804005006328
7,9,0.8377069679554552,11.325942508876324,10.488095809007064
8,9,0.7521182489581406,10.851821326185018,10.099600093904884
9,9,0.7211191330570728,10.924169974867254,10.202982667833568
0,6,0.8151044179685414,0.828844484873116,0.0134888011962175
1,6,0.8171409666538239,0.8320415420457721,0.0147175067104399
2,6,0.8731947741471231,0.8907789499498904,0.0174203827045857
3,6,0.7241286956705153,9.729165946133437,9.004897760227323
4,6,0.8254665699787438,10.440581263974307,9.615027493797244
5,6,0.8234547567553818,11.08694860804826,10.263344179373236
6,6,0.8396999542601407,11.411738589871677,10.571950828656554
7,6,0.8130426090210676,11.329038311727343,10.515934783499688
8,6,0.7382859261706471,10.853757428005338,10.115330765023828
9,6,0.8286896413192153,10.925221420824528,10.096443147864193
0,7,0.962297969032079,0.9790087249130012,0.0164464972913265
1,7,0.911113705020398,0.927251573652029,0.0159618416801095
2,7,1.0184901980683208,1.0317094679921863,0.0130696170963346
3,7,0.7955401809886098,9.730600596871229,8.934972849674523
