generation,rank,simulation,PDI,bar
0,2,2.287733332,0.4512800280000002,1.157562734
1,2,2.364618223000001,0.5657944610000012,0.1235664409999994
2,2,2.4490257559999993,0.5708077940000003,0.0210027319999994
3,2,2.4686965570000012,0.4821886030000009,0.2031141100000013
4,2,2.43456093,0.4475486330000002,0.216226761999998
5,2,2.4397277799999983,0.563619292000002,0.1118747410000011
6,2,2.469694439999998,0.5624985079999973,0.1098906699999986
7,2,2.4803810860000013,0.5683454660000002,0.1007662630000005
8,2,2.483983923000004,0.5627373450000022,0.1081869729999951
9,2,2.482994588000004,0.5567924869999956,0.1149891089999997
10,2,2.532692865999998,0.4632026259999975,0.122930672999999
11,2,2.5174455990000055,60.204841531,0.0021857790000012
0,6,2.2872516679999997,1.5663562270000009,0.0424334159999997
1,6,2.364377909,0.4480175650000007,0.2415833450000004
2,6,2.449044744,0.44552221,0.1462666430000005
3,6,2.4684067999999986,0.5665455609999981,0.1190413390000024
4,6,2.434561551999998,0.5687666930000006,0.0950033710000006
5,6,2.450792680000003,0.5517600039999984,0.1126676700000004
6,6,2.469577659999999,0.433181734999998,0.2393248360000015
7,6,2.480314938999999,0.5679629800000008,0.1012095029999997
8,6,2.4837971949999975,0.4364526680000011,0.2346592179999973
9,6,2.482858372999999,0.4285755770000037,0.2433300169999981
10,6,2.5326779959999968,0.574537111000005,0.0116157229999984
11,6,2.5173211890000005,60.206653630000005,0.0004426580000114
0,3,2.28767502,1.442787072000001,0.1661435889999989
1,3,2.3645216159999993,0.6893942190000004,3.741599999962375e-05
2,3,2.4489666430000003,0.5918115159999999,5.781700000007106e-05
3,3,2.4686248630000005,0.6654030099999986,0.0199711670000013
4,3,2.4344915659999984,0.5520985640000013,0.1117393799999995
5,3,2.4396507599999993,0.6525484619999986,0.0230270759999982
6,3,2.4696340979999967,0.6503034709999973,0.0221401979999988
7,3,2.480320573,0.5619111619999977,0.1072613350000004
8,3,2.4839202040000004,0.6709561810000011,3.771400000118774e-05
9,3,2.4829412349999984,0.5016198729999957,0.1702121840000003
10,3,2.5326349199999996,0.4257939099999959,0.1603959449999976
11,3,2.517384531999994,60.207052311000005,2.148000000090633e-05
0,7,2.287199771,0.6374501310000005,0.9713866640000006
1,7,2.3643198969999997,0.5349882689999994,0.1546711130000009
2,7,2.448982768999999,0.4320141539999991,0.1598391459999995
3,7,2.468329034,0.6856046320000004,6.032299999958468e-05
4,7,2.434507732,0.4166408829999994,0.247188849999997
