generation,getdata,getdataq,computation
9.93008329346776,3.1575205931439996,3.1548113794997334,6.772557626478374
4.822678070515394,0.007196010090410709,0.0051107387989759445,4.8154772110283375
4.253573472611606,0.006708282977342606,0.004640580154955387,4.246860137209296
5.081430320627987,0.006565134972333908,0.0045776162296533585,5.074859638698399
4.646051920950413,0.007115455344319344,0.005097337067127228,4.638931818306446
5.373191664926708,0.006421707570552826,0.004441083408892155,5.366764643229544
4.710813564248383,0.00637888815253973,0.00438263826072216,4.704429695382714
4.602818640880287,0.0071982573717832565,0.005058254115283489,4.595611556433141
4.824603331275284,0.007330357097089291,0.005036532878875732,4.817267808131874
4.6464455537498,0.006571694277226925,0.0046064890921115875,4.639868113212287
