data,timestep,rank,get_contract,publish_request,scatter,publish
global_t,0,45.0,0.014895955100655556,1.30385160446167e-07,0.24016594514250755,0.24019668996334076
global_t,1,45.0,7.11437314748764e-05,1.3224780559539795e-07,0.3048390205949545,0.30486963503062725
global_t,2,45.0,8.158758282661438e-05,1.30385160446167e-07,0.25922442972660065,0.2592522520571947
global_t,3,45.0,3.787130117416382e-05,1.3783574104309082e-07,0.226197874173522,0.22622200474143028
global_t,4,45.0,6.837397813796997e-05,1.7881393432617188e-07,0.31107208132743835,0.31109502725303173
global_t,5,45.0,3.750808537006378e-05,1.341104507446289e-07,0.254412692040205,0.2544349543750286
global_t,6,45.0,2.9277056455612183e-05,1.3783574104309082e-07,0.23903609812259674,0.23905138112604618
global_t,7,45.0,6.937235593795776e-05,1.3969838619232178e-07,0.3096463195979595,0.30966625548899174
global_t,8,45.0,3.071315586566925e-05,1.30385160446167e-07,0.26135367527604103,0.26136863604187965
global_t,9,45.0,3.5429373383522034e-05,1.341104507446289e-07,0.28437490947544575,0.28439812175929546
global_t,10,45.0,3.0294060707092285e-05,1.30385160446167e-07,0.23689350672066212,0.23690851405262947
global_t,11,45.0,2.972222864627838e-05,1.341104507446289e-07,0.23242946341633797,0.23244367353618145
