generation,rank,simulation,PDI,bar
0,10,181.485411896,4.453399079999997,7.271830355999981
1,10,179.589913802,5.3154025300000285,14.113330994000025
2,10,181.2890483040001,4.422764278000045,5.233426625999982
3,10,183.14969362600004,4.429573978999997,5.183464771999979
4,10,184.114516426,4.523197718999995,5.013773201000049
5,10,186.42220365999992,5.308314724999946,10.060867133000102
6,10,185.9907997559999,4.464320183000154,5.1282556669998485
7,10,187.176660632,4.440667685000108,5.184102347999897
8,10,188.3604665949999,4.464015600000039,5.214963324000109
9,10,189.4444957830001,4.414667123000072,5.192520005000006
10,10,189.9915573379999,4.439720528999715,5.114568487999804
11,10,190.58379595999983,30.004695403999904,0.0873546759999044
0,93,181.646551679,8.710684369000006,2.851918225999981
1,93,179.590453211,7.727757783999948,11.700984763000008
2,93,181.26369502800003,8.510356391000073,1.1709082229999694
3,93,183.14650754,8.28134584999998,1.333977900999912
4,93,184.2763885850001,8.640103720999946,0.7353506310000739
5,93,186.17559620399993,7.969496002999904,7.646022887000072
6,93,186.26119918899985,8.170891874000063,1.1510095660000843
7,93,187.3107594569999,8.430955752000045,1.0594838619999791
8,93,188.48731760399983,8.292496073999928,1.2593354099999488
9,93,189.52053576599997,8.04012092500011,1.4907361260000016
10,93,189.85499494400003,8.463516649999747,1.2270113879999371
11,93,190.2434636619996,30.004767339999944,0.4260032699999101
0,70,181.631436441,9.384399613,3.005146796999981
1,70,178.742724686,18.177006869000024,1.285456774000011
2,70,181.1686184870001,8.986100826999973,0.7901899579999281
3,70,183.077468015,8.676746788999935,1.0081100580000566
4,70,184.12582856900008,8.563968112999987,1.8074488270000304
5,70,185.26301101700005,14.973271931,0.7088145989998793
6,70,185.93599189700012,9.325910497999985,0.3211636890000591
7,70,187.2577061699999,8.62527843099997,0.9181968580001012
8,70,188.406581748,8.729305582000052,0.9032414749999588
9,70,189.42494152299992,8.777468203999888,0.8489536029999272
10,70,189.70161523,8.615836948999913,1.2280156470001202
11,70,190.1593262190004,30.0057334359999,0.5091154130000177
0,7,181.485299124,6.928299900000013,4.796372566000002
1,7,179.49906791800004,15.99775166400002,3.521616123000001
2,7,181.07432213100003,6.532500931999948,3.3382191790000206
3,7,182.838940708,5.588337614000011,4.3352566449999586
4,7,183.81592688400008,6.025448497999946,3.81003695000004
5,7,186.14018761700004,14.951607126,0.6994767589999356
6,7,185.72960308200004,6.1921904030000405,3.661356899999874
7,7,186.870149655,5.91438990100005,4.0165904240000145
8,7,187.96945488300003,4.985684582999966,5.08402273899992
9,7,189.12017488300012,5.893318639999961,4.037910283000201
10,7,189.62799835600023,6.206735020999986,3.7108462719997983
11,7,190.1174560899999,30.019636392999928,0.5371255310001288
0,95,181.629969017,3.918785478000018,7.658727378999998
1,95,179.59050967100004,3.758212404000006,15.67045891700002
2,95,181.16557859399995,3.783639482000012,5.9957807580000235
3,95,183.091109296,3.854995716000076,5.815775201000065
4,95,184.19757568,3.2533464719999756,6.200869933000035
5,95,186.07705621100013,3.7563817719999406,11.957699701000138
6,95,186.01393621399984,3.372844906999944,6.1963161659998605
7,95,187.24627904999988,3.4874834859999737,6.067443787000002
8,95,188.43832708500008,2.757826109000007,6.843028451000009
9,95,189.50175239500004,2.563168714999847,6.986449398000104
10,95,189.73595539200005,3.563796383999943,6.245799732999785
11,95,190.1574704650002,30.01854664700022,0.4981673480001518
0,111,181.527615346,5.894580843999989,5.792168091999997
1,111,179.58970365599998,4.902730383000005,14.525987106000002
2,111,181.165653978,4.633842510000022,5.145560280000041
3,111,183.08292293199997,5.243059816000027,4.435988513999973
4,111,184.20824172800008,4.892254896000054,4.551433776999943
5,111,186.08620041599988,4.763493930000095,10.94159858299986
6,111,186.06055377200005,4.111118196999996,5.411467077999987
7,111,187.2423954039998,5.211370160999877,4.34739748800007
8,111,188.42986731500017,5.094646003999969,4.514696004999905
9,111,189.471110771,4.572361037000064,5.007936937000068
10,111,189.66606105899996,4.994931358000031,4.8845959440000115
11,111,190.10026528900016,30.004908524000257,0.5690346000001227
0,5,181.529767615,8.035404545999995,3.6501279160000024
1,5,179.51655804499998,16.085989628999982,3.4160697699999787
2,5,181.12518696200004,7.90382397399992,1.9161521660000744
3,5,182.9461828960001,7.624673365000035,2.1912234300000364
4,5,183.91056471699991,7.497141706999969,2.244380511000031
5,5,186.1669627120001,14.03569160799998,1.5887295290001475
6,5,185.76133928199988,7.707253131000016,2.1147824009999567
7,5,186.958365749,7.708117927000103,2.134854624000127
8,5,188.1941329010001,7.906164311000111,1.9390377469999296
9,5,189.33097588400005,7.9047761290000835,1.8158381410000857
10,5,189.7168603619998,7.421938595999563,2.406943460999628
11,5,190.38644581500012,30.0051561690002,0.2827967160001208
0,45,181.610856207,6.629974699999991,4.9705567819999885
1,45,179.60355132800004,6.556035758999997,12.85957044700001
2,45,181.24018687399996,6.386725141000056,3.3180182209999884
3,45,183.118778465,5.691350000000057,3.951700877000007
4,45,184.18739594399997,5.929037584000071,4.381422071999964
5,45,185.37046501,5.500899209999943,10.07377201600002
6,45,185.9278391180001,5.82685074699998,3.828432416999931
7,45,187.16754602700007,6.367186472999947,3.266458787000147
8,45,188.264395661,6.444760514999871,3.330044218000012
9,45,189.2803038589998,5.685538196000152,4.085557040999902
10,45,189.75942387299983,6.266052664000199,3.5200206620002064
11,45,190.34204376700015,30.017133948000264,0.3150711819998832
0,94,181.6300171,4.953199006999995,6.6242668110000125
1,94,179.590561225,5.176390717000004,14.252230423000016
2,94,181.2337540830001,5.355860029000041,4.355380966999974
3,94,183.115932801,5.333512306000102,4.312446314999988
4,94,184.20620309999993,5.50487221700007,3.9407127409999703
5,94,186.15887714699988,5.546730700000126,10.085533309000084
6,94,186.032241635,5.014934183999912,4.535920371999964
7,94,187.28556912599993,4.92464935199996,4.590989473000036
8,94,188.43838383499997,5.325090713999998,4.275708685999916
9,94,189.520403685,5.028132031000041,4.502835984000058
10,94,189.85490208199985,5.350498668,4.34015082499991
11,94,190.15872219599987,30.00529249400006,0.5101783699997213
0,97,181.576477176,8.067269809999999,3.568472321999991
1,97,179.697944141,7.461896269000022,11.858456537999984
2,97,181.491232884,7.107636281000055,2.3460728660000996
3,97,183.37987921499996,7.450053718999925,1.9320430100000296
4,97,184.47509821999995,7.669772563000038,1.506809525000108
