generation,rank,simulation,PDI,bar
0,10,1.2770977099999996,0.4911475169999981,1.637471871999999
1,10,1.2766028319999982,0.4605771000000018,1.596416247999997
2,10,1.3472220949999991,0.4481804190000034,1.58821734
3,10,1.3127798900000016,0.4439791450000001,1.5988999980000005
4,10,1.3149179429999975,0.4423592529999993,3.543350826000001
5,10,1.2363051130000002,0.4617773829999976,5.196814551999999
6,10,1.1834841800000009,0.4586087279999944,1.632851205999998
7,10,1.2697063219999976,0.4640348059999937,9.849480514
8,10,1.208932236999999,0.450103791999993,1.5735875389999876
9,10,1.213366515000004,0.4525134650000098,1.6178153920000111
0,7,1.2695092589999994,0.4978333610000014,1.6406804840000009
1,7,1.2761834910000047,0.4492739619999994,1.6081463720000002
2,7,1.3432449949999992,0.4423160460000019,1.5980554590000011
3,7,1.3098015300000014,0.4511605279999955,1.5946116949999976
4,7,1.3119220549999966,0.4423031809999997,3.54647877
5,7,1.230943595999996,0.4806293190000019,5.183310975000005
6,7,1.1778546899999969,0.4475093020000003,1.6495901529999983
7,7,1.2664251559999968,0.4460886580000007,9.870648208000006
8,7,1.2077958389999992,0.4444127240000028,1.5804691420000123
9,7,1.2067894260000005,0.4470646049999942,1.629850358000013
0,5,1.274541553999999,0.4948089619999969,1.635536849000001
1,5,1.2766260179999982,0.4541449630000045,1.6028343349999972
2,5,1.3459417170000023,0.4300827100000006,1.6075916779999986
3,5,1.3098062349999964,0.4448523800000004,1.601013421999994
4,5,1.3127460870000007,0.447931295999993,3.539930244000004
5,5,1.2338926290000032,0.4579328539999991,5.203083769999999
6,5,1.1802371960000002,0.4358395419999965,1.658857083000001
7,5,1.267155193000001,0.4552858469999989,9.860729220000003
8,5,1.2080435220000112,0.4502888960000035,1.5743373210000016
9,5,1.2132605110000014,0.4380373219999995,1.632407530000009
0,45,1.285698661999998,1.5982196050000006,0.5233529640000008
1,45,1.277271993000003,1.831021155000002,0.2253059510000028
2,45,1.3504302079999988,1.8081531260000008,0.2250383300000038
3,45,1.3204474249999976,1.8010846179999973,0.2341188149999951
4,45,1.3333498929999976,1.7607252760000025,2.2065503469999967
5,45,1.233740486000002,5.661011749000004,8.931200000006356e-05
6,45,1.180134306999996,1.8249689390000017,0.2698830080000007
7,45,1.2674717949999987,1.6394345200000018,8.676212200999998
8,45,1.208674533000007,1.6240745009999955,0.3999699329999941
9,45,1.209462338999998,1.6676972610000007,0.4065419049999974
0,28,1.281343177,1.9524942440000004,0.1729304850000019
1,28,1.277156779000002,2.045020100999998,0.0114403799999962
2,28,1.3505296089999987,2.006717165000005,0.0263893120000062
3,28,1.3187320250000027,2.0200031529999976,0.0169088319999985
4,28,1.322380551000002,1.8684650450000009,2.109874654000002
5,28,1.2346875970000042,2.011430965999999,3.648720554000001
6,28,1.181506049999996,1.9562670250000025,0.1372109320000021
7,28,1.2675301900000022,10.25047326,0.0652266289999943
8,28,1.2086133739999951,2.0098809990000035,0.0141892139999981
9,28,1.2110399299999983,2.0149459649999955,0.0577539960000024
0,29,1.2824902269999967,2.088267105,0.0359493549999996
1,29,1.2772504799999993,2.042459231999999,0.0138795849999979
2,29,1.3504368090000014,2.026154078999994,0.0070515049999997
3,29,1.320507228000004,1.9144369099999992,0.1206994420000029
4,29,1.3225714570000022,1.9142791749999972,2.0638596289999995
